,Station Names,YEAR,Max Temp,Min Temp,Rainfall,Relative Humidity,Wind Speed,Cloud Coverage,Bright Sunshine,Amon_area,Amon_production,Aus_area,Aus_production,Jute_area,Jute_production,Boro_Area,Boro_Production
62,Faridpur,1980,33.275,21.55833333,172.66666669999995,78.0,0.933333333,2.758333333,6.607183908,660130.0,206400,531140,122995.0,,,58250.0,60820.0
63,Feni,1980,33.54166667,21.80833333,126.1666667,77.41666667,0.5,3.208333333,6.332183907999999,,,,,,,,
64,Noakhali,1980,31.75833333,22.69166667,263.1666667,78.75,2.0,3.2833333330000003,6.462356322000001,776810.0,359670,360095,153860.0,,,144480.0,207375.0
65,Ishurdi,1980,34.79166667,20.64166667,121.3333333,73.08333333,1.975,3.275,6.606034482999999,,,,,,,,
66,Jessore,1980,34.49166667,21.125,113.1666667,74.08333333,2.883333333,3.716666667,6.633333333,645155.0,307630,577205,207870.0,,,20815.0,17465.0
67,Khepupara,1980,32.81666667,22.51666667,217.3333333,74.83333333,2.416666667,3.866666667,6.048397436,,,,,,,,
68,Khulna,1980,33.59166667,22.25833333,152.5,81.33333333,1.075,3.058333333,6.618888889,977685.0,495335,106240,46675.0,,,53360.0,38685.0
69,Kutubdia,1980,32.51551724,22.27701149,37.16666667,81.75,1.975,3.5022988510000004,7.004722222000001,,,,,,,,
70,Madaripur,1980,33.90833333,21.46666667,157.41666669999995,73.33333333,0.441666667,3.833333333,5.645833333,,,,,,,,
71,Maijdee Court,1980,33.24166667,21.8,218.3333333,76.58333333,1.1,3.441666667,6.297413793,,,,,,,,
72,Mymensingh,1980,33.075,20.69166667,193.4166667,70.0,1.9,4.1,6.675,640370.0,360075,400835,218210.0,,,89055.0,70050.0
73,Patuakhali,1980,31.49166667,21.99166667,197.5833333,81.25,1.458333333,3.7,5.734195402,659360.0,303785,100545,36588.0,,,27290.0,28615.0
74,Rajshahi,1980,33.81666667,20.91666667,131.3333333,74.08333333,1.6166666669999998,2.808333333,6.933333332999999,1045610.0,471925,429340,131785.0,,,95605.0,84205.0
75,Rangamati,1980,33.14166667,22.38333333,271.0833333,78.75,1.575,3.708333333,6.455864198,69010.0,301500,77445,27280.0,,,,
76,Rangpur,1980,32.175,20.5,176.66666669999995,75.91666667,0.8833333329999999,3.133333333,7.033333333,1341590.0,797575,884060,272940.0,,,79310.0,79010.0
77,Sandwip,1980,32.35833333,21.69166667,333.3333333,79.58333333,1.483333333,3.225,6.600617284,,,,,,,,
78,Satkhira,1980,33.71666667,21.9,114.25,76.91666667,1.191666667,2.65,6.538611111,,,,,,,,
79,Khagrachari,1980,32.025,21.74166667,50.0,76.66666667,1.5583333330000002,3.391666667,6.141666667000001,0.0,0,0,0.0,,,,
80,Maulavibazar,1980,31.74166667,19.43333333,194.9166667,81.41666667,0.525,1.2,6.355654762,,,,,,,,
81,Sylhet,1980,32.39166667,20.21666667,273.3333333,77.91666667,1.033333333,4.058333333,6.975,1098550.0,492030,374035,156070.0,,,645000.0,460655.0
82,Teknaf,1980,32.375,21.88333333,110.0833333,74.08333333,1.733333333,3.708333333,7.433333332999999,,,,,,,,
83,Barisal,1981,32.725,20.93333333,193.5,81.91666667,0.816666667,3.691666667,6.508333333,926545.0,455425,494995,225875.0,,,104110.0,86730.0
84,Bhola,1981,32.71666667,21.35833333,221.9166667,81.83333333,0.6333333329999999,3.658333333,5.6,,,,,,,,
85,Bogra,1981,33.925,20.58333333,144.91666669999995,77.16666667,1.041666667,3.2,7.425,623220.0,389105,258430,133915.0,,,58995.0,69935.0
